ssn,age,education,marital-status,relationship,sex,income
881-38-8205,37.0,Bachelors,Married-civ-spouse,Husband,Male,
179-48-4029,42.0,1st-4th,Married-civ-spouse,Husband,,>50K
717-78-2554,40.0,,,Husband,Male,
188-39-0663,31.0,Some-college,Divorced,Not-in-family,Male,<=50K
080-86-6093,41.0,,,Not-in-family,,
031-14-2506,21.0,HS-grad,Never-married,Not-in-family,Female,
233-10-8107,27.0,Bachelors,Married-civ-spouse,,Male,
253-53-1940,33.0,9th,Married-civ-spouse,Husband,Male,
301-38-2063,,Some-college,Married-civ-spouse,Husband,,
832-86-2407,20.0,11th,Married-civ-spouse,,Female,<=50K
024-63-1449,41.0,Bachelors,Married-civ-spouse,,,>50K
496-65-2333,,10th,,Own-child,,
343-61-1793,28.0,Some-college,Divorced,Unmarried,,<=50K
376-71-9901,19.0,HS-grad,Never-married,Own-child,Female,
705-03-6854,,Bachelors,,Not-in-family,Male,
213-45-2088,38.0,,Never-married,,Male,<=50K
817-62-8991,43.0,7th-8th,Married-civ-spouse,Husband,,<=50K
476-93-4888,22.0,HS-grad,Married-civ-spouse,,Female,<=50K
704-29-9753,20.0,Some-college,,,Female,<=50K
741-06-2652,36.0,Bachelors,Never-married,Own-child,,
397-66-5847,34.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
711-27-1498,51.0,Some-college,,Husband,,
621-19-1645,64.0,,Divorced,Not-in-family,Female,<=50K
480-28-2554,,11th,Separated,Not-in-family,,<=50K
868-94-9630,27.0,Bachelors,,Husband,Male,<=50K
937-22-3586,30.0,Bachelors,Married-civ-spouse,Husband,Male,
773-74-0785,17.0,,,Own-child,,<=50K
942-10-6878,29.0,Some-college,Married-civ-spouse,Husband,Male,>50K
413-48-2800,19.0,Some-college,Married-civ-spouse,Own-child,Female,<=50K
388-17-5675,46.0,Some-college,Divorced,Unmarried,,<=50K
364-40-4176,25.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
167-13-7591,56.0,7th-8th,,Unmarried,Male,
013-26-7813,38.0,,Married-civ-spouse,Husband,Male,<=50K
689-77-2726,41.0,,,,,<=50K
772-08-2308,35.0,Bachelors,Never-married,,,<=50K
285-19-6559,23.0,HS-grad,,Own-child,,
607-98-5257,46.0,Some-college,Never-married,Unmarried,Female,<=50K
395-14-7419,45.0,Bachelors,,Husband,Male,
649-90-7861,23.0,HS-grad,Never-married,Other-relative,Female,<=50K
117-13-7592,33.0,Some-college,Never-married,,Male,
567-07-6166,37.0,HS-grad,,Not-in-family,,>50K
164-55-7739,59.0,Some-college,Married-civ-spouse,Husband,Male,
557-09-4594,45.0,HS-grad,,,Male,
440-29-4839,44.0,,Divorced,Unmarried,Female,
305-98-8943,58.0,Some-college,Never-married,,,<=50K
830-37-4692,21.0,,Never-married,Own-child,Female,<=50K
420-70-0245,52.0,Some-college,Widowed,Unmarried,,<=50K
358-04-6682,63.0,,Never-married,Other-relative,,<=50K
662-53-0711,22.0,HS-grad,Never-married,Not-in-family,Male,<=50K
841-89-1891,39.0,9th,Divorced,Unmarried,,<=50K
716-92-2603,67.0,,Divorced,Own-child,,<=50K
218-88-8206,53.0,,,Unmarried,Female,<=50K
272-38-9434,,HS-grad,Never-married,Not-in-family,Male,
950-15-3561,42.0,Some-college,Never-married,Not-in-family,,
442-16-8304,31.0,Assoc-voc,Divorced,,,<=50K
486-48-6486,,,Married-civ-spouse,,Male,>50K
734-21-3758,57.0,Masters,Married-civ-spouse,Wife,Female,<=50K
562-22-3586,,,Never-married,Not-in-family,Male,
522-48-1571,35.0,,Married-civ-spouse,,,
708-26-1670,30.0,,Divorced,Not-in-family,Female,<=50K
720-39-3119,48.0,,Divorced,Not-in-family,,
277-48-7714,23.0,Masters,Married-civ-spouse,Husband,Male,<=50K
217-72-1130,25.0,,Separated,Not-in-family,Male,
046-62-1621,27.0,9th,Divorced,Not-in-family,Female,<=50K
910-56-5109,42.0,,,Husband,,<=50K
219-04-1768,,Some-college,,Own-child,,
481-20-3930,,,Never-married,,Female,<=50K
435-90-2947,24.0,Assoc-voc,Married-civ-spouse,,Female,
955-06-7566,,,Never-married,,Male,<=50K
475-15-3562,34.0,Assoc-voc,Never-married,Own-child,,
790-47-9114,42.0,Some-college,Never-married,,Male,<=50K
797-35-8721,19.0,Masters,Never-married,Own-child,,
049-50-8599,26.0,,,Not-in-family,Female,
246-31-4496,52.0,Some-college,,Not-in-family,Female,<=50K
782-49-3856,,7th-8th,,Husband,Male,
233-35-3808,64.0,,Never-married,Not-in-family,Female,
661-48-6485,64.0,7th-8th,,Not-in-family,,
456-08-1080,,Bachelors,,,Male,<=50K
108-10-8108,27.0,,Never-married,Not-in-family,,
669-96-3144,50.0,10th,Never-married,Not-in-family,Male,>50K
731-63-3905,63.0,,,Not-in-family,,
160-53-4397,33.0,,Married-civ-spouse,Husband,Male,
326-99-6314,59.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
407-21-7444,24.0,Bachelors,Married-civ-spouse,Husband,,
435-53-4397,25.0,,Divorced,,,<=50K
616-52-3340,45.0,HS-grad,Married-civ-spouse,Husband,Male,
433-78-3783,25.0,,Never-married,Not-in-family,Male,
128-25-5528,54.0,HS-grad,Married-civ-spouse,Husband,,
812-22-3586,38.0,Some-college,Never-married,,,
880-06-7566,36.0,,Married-civ-spouse,Husband,,
445-48-5257,35.0,Assoc-voc,Married-civ-spouse,Husband,,>50K
455-15-9704,39.0,,Married-civ-spouse,Husband,,
832-18-6731,43.0,,Never-married,Not-in-family,,
710-16-5846,41.0,Masters,Divorced,,Female,>50K
032-37-1007,35.0,HS-grad,Married-civ-spouse,Husband,Male,
928-96-1915,37.0,,,,Male,<=50K
251-28-9926,42.0,,Married-civ-spouse,Husband,Male,<=50K
333-20-0245,23.0,HS-grad,Married-civ-spouse,Wife,Female,
841-06-2652,82.0,,Never-married,Not-in-family,,<=50K
722-78-8697,24.0,,Married-civ-spouse,Husband,,
188-45-2088,38.0,,Married-civ-spouse,Husband,,>50K
446-99-0171,56.0,Doctorate,Married-civ-spouse,Husband,Male,<=50K
050-76-7813,23.0,HS-grad,Never-married,Not-in-family,Female,<=50K
241-79-9754,22.0,,,Own-child,Male,
159-61-3021,37.0,Some-college,Never-married,,Male,
825-98-2800,24.0,,Never-married,,,
085-59-5823,43.0,Prof-school,Married-civ-spouse,Husband,,
862-16-2161,39.0,Some-college,Never-married,Unmarried,,
168-79-6068,31.0,HS-grad,Married-civ-spouse,Husband,,>50K
877-73-3414,29.0,,Married-civ-spouse,Husband,Male,
106-14-2506,39.0,Some-college,Divorced,Unmarried,,<=50K
672-48-1571,51.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
673-40-2947,53.0,,,Husband,Male,
651-35-1350,28.0,,Divorced,Own-child,Male,
270-23-9557,57.0,,,Not-in-family,Male,
841-55-4053,22.0,,,Own-child,Female,<=50K
968-79-6067,61.0,Some-college,Married-civ-spouse,Husband,Male,
731-72-6043,,,Never-married,Not-in-family,Male,
625-03-0711,51.0,HS-grad,Married-civ-spouse,Husband,Male,
738-66-7075,32.0,10th,Divorced,Unmarried,Female,<=50K
000-98-2800,34.0,,,Not-in-family,Female,
524-78-5011,37.0,HS-grad,Divorced,Unmarried,Female,<=50K
619-50-2456,61.0,HS-grad,,Not-in-family,Female,
065-69-4103,22.0,Bachelors,,Own-child,,<=50K
119-50-2456,65.0,,,Husband,Male,
255-71-2530,21.0,,Never-married,Own-child,Male,
185-50-3685,50.0,Some-college,,Husband,Male,
592-84-3979,65.0,Bachelors,Never-married,Not-in-family,Female,<=50K
685-19-6559,37.0,Bachelors,,Husband,Male,<=50K
295-66-9532,,Masters,Never-married,Own-child,Female,
593-67-3218,,,Divorced,Not-in-family,Female,>50K
616-67-6903,63.0,HS-grad,Divorced,,,
766-18-5502,35.0,HS-grad,Divorced,,Male,
426-35-1350,,HS-grad,Separated,,Female,
210-01-2284,35.0,,Married-civ-spouse,Husband,,
812-89-9262,21.0,HS-grad,Married-civ-spouse,,Female,<=50K
488-69-7788,56.0,,Married-civ-spouse,Husband,,<=50K
029-33-0466,,Bachelors,Married-civ-spouse,Husband,,
277-88-6977,39.0,Some-college,Separated,Not-in-family,Male,<=50K
853-37-8377,50.0,,Married-civ-spouse,Husband,Male,>50K
937-99-1399,41.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
974-81-5723,27.0,Some-college,Never-married,Not-in-family,,<=50K
548-71-0073,36.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
809-88-9434,51.0,Some-college,Married-civ-spouse,Husband,Male,
368-39-6805,19.0,HS-grad,Never-married,Own-child,,<=50K
163-29-8525,33.0,HS-grad,Separated,Not-in-family,Female,<=50K
281-57-2481,18.0,,,Own-child,,
233-87-5921,19.0,11th,Never-married,Own-child,,
468-36-6092,18.0,Some-college,Never-married,,,<=50K
919-68-6731,56.0,10th,Married-civ-spouse,Husband,Male,<=50K
641-73-8328,19.0,,Never-married,Own-child,Male,
914-95-7001,44.0,HS-grad,Widowed,Unmarried,,
289-28-1326,18.0,HS-grad,Never-married,Own-child,,<=50K
409-67-4446,,9th,Married-civ-spouse,Husband,Male,
719-59-4593,31.0,Bachelors,Married-civ-spouse,Husband,Male,
254-20-7616,47.0,,Married-civ-spouse,Husband,,>50K
824-69-2873,34.0,7th-8th,,Wife,,
170-57-7395,35.0,,Married-civ-spouse,Husband,Male,
803-96-1915,42.0,,Married-civ-spouse,,Male,<=50K
084-88-9434,55.0,Prof-school,,,Male,<=50K
319-56-3881,17.0,10th,Never-married,Other-relative,,<=50K
191-52-3341,33.0,HS-grad,Never-married,,,<=50K
054-39-1891,51.0,,Never-married,,Female,
201-65-8476,39.0,,Never-married,Not-in-family,,
961-48-6485,37.0,HS-grad,Married-civ-spouse,Wife,Female,>50K
354-66-8304,66.0,Bachelors,Never-married,,Male,<=50K
239-61-9164,48.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
609-64-3734,31.0,,Married-civ-spouse,Husband,Male,<=50K
148-55-6510,34.0,HS-grad,Married-civ-spouse,,Male,>50K
293-64-2505,34.0,Masters,Never-married,Own-child,Female,<=50K
630-98-8942,27.0,Some-college,Never-married,Not-in-family,,
943-79-6067,22.0,,Divorced,Unmarried,,<=50K
441-76-9041,59.0,Assoc-voc,Never-married,Not-in-family,,<=50K
131-17-3218,23.0,Some-college,Married-spouse-absent,Not-in-family,,<=50K
837-96-0687,21.0,,Never-married,Own-child,Female,<=50K
381-35-7493,51.0,HS-grad,Married-civ-spouse,Husband,Male,
348-24-9385,29.0,HS-grad,,Not-in-family,Male,>50K
333-41-5233,51.0,,Married-civ-spouse,Husband,,>50K
389-15-8476,63.0,Bachelors,,Not-in-family,Female,
625-12-2849,44.0,HS-grad,Never-married,Not-in-family,,
967-56-7566,24.0,,,Not-in-family,Male,<=50K
646-37-5920,37.0,,,Not-in-family,,
189-15-8476,26.0,,Never-married,,Male,<=50K
065-84-7665,55.0,Masters,Never-married,Not-in-family,,<=50K
027-51-8427,49.0,HS-grad,Married-civ-spouse,,Male,
275-95-2088,26.0,HS-grad,,,Male,<=50K
930-46-6829,67.0,,Married-civ-spouse,Husband,Male,<=50K
775-03-0711,50.0,,Divorced,Not-in-family,,
075-36-8550,,7th-8th,,Not-in-family,,
069-10-3194,55.0,,Married-civ-spouse,Husband,Male,
492-65-9704,,,,Unmarried,Female,
687-19-2874,25.0,Bachelors,Never-married,,,<=50K
945-08-5994,32.0,Bachelors,Widowed,Not-in-family,Male,
139-12-7763,19.0,,Never-married,Own-child,,<=50K
382-86-2407,22.0,,Never-married,Own-child,,
442-50-6142,45.0,HS-grad,,Own-child,Female,
194-22-6044,75.0,Bachelors,Married-civ-spouse,,Female,<=50K
208-81-4496,49.0,HS-grad,Never-married,,Male,
274-96-9287,33.0,HS-grad,Divorced,Unmarried,Male,
253-31-6953,25.0,,Divorced,Not-in-family,Male,<=50K
560-87-2235,26.0,Masters,Divorced,Own-child,Male,<=50K
985-59-5822,42.0,,Married-civ-spouse,Husband,,>50K
711-21-0072,57.0,Some-college,Divorced,Unmarried,,<=50K
276-44-3488,60.0,Bachelors,Never-married,,Male,<=50K
726-93-4888,43.0,Some-college,Married-civ-spouse,,,>50K
237-19-2874,43.0,11th,Never-married,,,<=50K
210-53-4397,56.0,Assoc-acdm,Married-civ-spouse,Husband,Male,>50K
985-84-1522,39.0,HS-grad,Never-married,Not-in-family,,<=50K
798-74-0785,52.0,Some-college,Married-civ-spouse,Husband,Male,
528-43-9802,32.0,Some-college,,Unmarried,,
833-66-0932,26.0,Some-college,Never-married,,,<=50K
326-71-9901,45.0,Assoc-voc,Married-civ-spouse,Wife,,>50K
053-22-4815,58.0,Some-college,Married-civ-spouse,,Female,<=50K
761-17-9360,62.0,Some-college,Married-civ-spouse,Husband,Male,
917-04-5453,23.0,HS-grad,,Not-in-family,,<=50K
206-51-1056,64.0,HS-grad,Never-married,,Female,
238-54-4225,31.0,HS-grad,,Own-child,,<=50K
288-32-9238,23.0,Assoc-acdm,,Not-in-family,,<=50K
588-42-1375,54.0,Some-college,Married-civ-spouse,Husband,Male,>50K
729-72-9729,28.0,10th,Married-civ-spouse,Husband,Male,<=50K
672-23-5871,27.0,Masters,Divorced,,,
903-37-8377,31.0,Some-college,Separated,Unmarried,,
315-66-3390,25.0,10th,Never-married,Not-in-family,,
413-75-9213,57.0,HS-grad,Divorced,Not-in-family,,
745-97-6657,21.0,Bachelors,,,,<=50K
778-28-6240,60.0,Some-college,,Wife,Female,>50K
680-92-7517,29.0,,Never-married,,Male,
540-54-0540,17.0,,Never-married,Not-in-family,Male,
189-37-3464,29.0,,Married-civ-spouse,Husband,Male,<=50K
963-48-2800,41.0,,,Unmarried,Female,<=50K
106-87-9606,20.0,Some-college,Divorced,,,<=50K
194-10-3193,71.0,,Separated,Unmarried,Female,<=50K
415-20-2702,32.0,12th,Never-married,Own-child,Male,
083-72-2358,74.0,Bachelors,Married-civ-spouse,Husband,,
906-05-0367,67.0,Some-college,Married-civ-spouse,Husband,,
766-00-1227,22.0,Some-college,Never-married,Own-child,Male,<=50K
591-49-2628,49.0,Bachelors,Never-married,Not-in-family,,
021-99-0171,58.0,Assoc-acdm,Married-civ-spouse,Husband,,<=50K
462-16-2161,28.0,,,,,>50K
919-93-2431,43.0,,,Husband,,
563-29-8525,27.0,,Never-married,Other-relative,Female,
815-90-9090,41.0,Prof-school,,,Female,<=50K
293-12-0392,46.0,9th,Divorced,Unmarried,Female,
840-29-4839,20.0,Masters,Divorced,,Female,<=50K
708-87-5920,31.0,12th,,Own-child,Female,
005-06-7567,39.0,,Never-married,Unmarried,Female,
962-49-9999,,Bachelors,Never-married,,,
001-25-9213,42.0,HS-grad,Never-married,Not-in-family,Male,
982-46-3143,34.0,HS-grad,Married-civ-spouse,Husband,,
065-20-2702,63.0,HS-grad,Widowed,Unmarried,Female,<=50K
445-79-2382,31.0,Some-college,Married-civ-spouse,Husband,Male,
961-64-0048,20.0,Some-college,,,Female,
835-84-1522,23.0,10th,Never-married,,,<=50K
139-37-3464,18.0,,Divorced,Own-child,Female,<=50K
758-32-3095,26.0,Bachelors,Widowed,Other-relative,Male,<=50K
287-37-7149,40.0,HS-grad,Married-civ-spouse,Husband,Male,
383-26-1670,56.0,Some-college,,Husband,Male,>50K
335-84-1523,35.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
580-83-5380,29.0,Some-college,Separated,,,
691-36-9778,29.0,,Never-married,Own-child,,<=50K
199-72-3587,31.0,Some-college,,Husband,,<=50K
970-23-9556,52.0,Bachelors,Never-married,Other-relative,,
197-26-6584,51.0,,Married-civ-spouse,Husband,,<=50K
610-16-5847,,HS-grad,Married-civ-spouse,Husband,,>50K
283-69-1645,30.0,HS-grad,Never-married,,Female,<=50K
734-85-8721,24.0,Assoc-acdm,,Not-in-family,Male,<=50K
810-47-2972,,HS-grad,Divorced,,Female,
800-49-1399,21.0,Some-college,Never-married,Not-in-family,,
870-14-7419,21.0,Some-college,Never-married,Own-child,,
941-73-8328,22.0,Some-college,Married-civ-spouse,,,
784-79-7296,26.0,,Divorced,Not-in-family,Male,
527-88-6977,34.0,5th-6th,,Husband,Male,<=50K
745-36-2407,40.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
151-84-2751,,Masters,Divorced,Not-in-family,Female,<=50K
490-75-5527,33.0,,Separated,Own-child,Male,<=50K
478-68-5503,25.0,,Never-married,Other-relative,Male,<=50K
727-39-5576,28.0,,Married-civ-spouse,Husband,Male,<=50K
928-93-1203,58.0,HS-grad,,Husband,Male,
475-73-7100,,Assoc-voc,Never-married,,,<=50K
340-29-4839,48.0,,,Husband,Male,
009-55-1597,32.0,HS-grad,Never-married,,Male,<=50K
178-47-0515,29.0,HS-grad,,Husband,Male,<=50K
303-83-9066,29.0,11th,Divorced,Own-child,,<=50K
016-83-0466,44.0,Bachelors,Married-civ-spouse,Wife,Female,
561-45-5773,47.0,,Married-civ-spouse,,Female,<=50K
194-59-4594,31.0,,Married-civ-spouse,Husband,Male,>50K
812-80-7124,33.0,7th-8th,Never-married,Not-in-family,,
636-97-7886,31.0,,Married-civ-spouse,Husband,Male,
849-84-6436,39.0,HS-grad,Widowed,Not-in-family,Female,
444-41-0318,22.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
103-25-5528,33.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
835-35-0122,34.0,Bachelors,Never-married,Own-child,Male,<=50K
077-05-7739,22.0,Some-college,Never-married,Own-child,,<=50K
427-18-0589,22.0,Some-college,,Not-in-family,,<=50K
517-75-1842,34.0,Bachelors,Married-civ-spouse,Husband,,>50K
867-29-1153,53.0,1st-4th,Never-married,,Male,
629-26-9041,20.0,,Married-civ-spouse,Other-relative,,
204-54-5454,30.0,,Divorced,Not-in-family,Male,<=50K
131-01-9655,73.0,,Divorced,,Male,<=50K
251-25-9213,42.0,,Never-married,Not-in-family,,<=50K
000-64-4963,23.0,Bachelors,Married-civ-spouse,Husband,Male,
482-40-1719,39.0,,Married-civ-spouse,Husband,,<=50K
950-52-2112,21.0,HS-grad,Never-married,Own-child,Male,
116-61-5478,45.0,,Separated,,,
425-73-7100,32.0,HS-grad,Married-civ-spouse,,Male,
393-55-0368,32.0,,,,Male,<=50K
146-34-5208,22.0,,Never-married,Not-in-family,Female,<=50K
290-72-4815,55.0,,Married-civ-spouse,Husband,,
759-24-4470,26.0,5th-6th,,,Male,<=50K
485-16-5847,84.0,,,Husband,Male,<=50K
860-25-7984,30.0,Assoc-voc,,Own-child,,<=50K
456-54-1768,34.0,HS-grad,Married-civ-spouse,Husband,,>50K
206-08-1080,33.0,,,,,<=50K
774-84-6436,33.0,,,Husband,Male,
839-40-4176,35.0,,Married-civ-spouse,Husband,Male,<=50K
583-29-2382,,HS-grad,,Wife,Female,>50K
672-69-6559,36.0,,Divorced,Not-in-family,,<=50K
906-48-0343,,Prof-school,Married-civ-spouse,Husband,,
127-18-0589,53.0,Masters,,Husband,,
261-21-0073,19.0,Assoc-voc,Never-married,Other-relative,,
582-00-2456,62.0,,Never-married,Not-in-family,Female,<=50K
771-92-8746,50.0,Some-college,,Wife,Female,>50K
893-82-6780,42.0,HS-grad,,Not-in-family,Male,>50K
510-47-2972,,5th-6th,Married-civ-spouse,Husband,Male,>50K
794-31-8181,,7th-8th,Married-civ-spouse,Husband,,
515-90-9090,31.0,11th,Married-spouse-absent,Not-in-family,Female,<=50K
277-30-3439,,11th,,Unmarried,Female,<=50K
664-49-6313,31.0,9th,Never-married,,,<=50K
953-00-9827,26.0,,Divorced,,,
440-57-1252,19.0,Masters,,,,<=50K
862-22-3586,39.0,,Married-civ-spouse,Husband,Male,
809-73-5871,51.0,Masters,Married-civ-spouse,,Male,>50K
447-20-5159,43.0,Some-college,Never-married,Not-in-family,Female,>50K
202-79-4840,39.0,Bachelors,,,Male,
613-78-9925,46.0,10th,,Husband,Male,>50K
698-58-7222,,Some-college,,Own-child,Male,
520-51-5969,51.0,,Divorced,,,<=50K
193-85-7493,39.0,Assoc-voc,Married-civ-spouse,Wife,Female,
122-85-0122,58.0,7th-8th,,Husband,,
945-51-5969,37.0,,Never-married,Not-in-family,Male,
025-18-4275,63.0,,,Not-in-family,Female,<=50K
356-97-1744,50.0,Some-college,,,Male,
312-92-9975,24.0,Bachelors,Married-civ-spouse,Husband,Male,
073-61-7936,61.0,,Never-married,,Male,<=50K
540-78-6240,39.0,Some-college,Never-married,Not-in-family,Male,<=50K
172-08-2309,26.0,HS-grad,,Not-in-family,Female,
972-63-5134,19.0,,,Own-child,,
804-17-6903,49.0,Bachelors,Married-civ-spouse,Husband,,>50K
542-50-6141,33.0,Some-college,,Husband,Male,
583-35-3807,20.0,,,Own-child,Female,
006-66-4619,33.0,,Married-civ-spouse,,Male,>50K
022-38-9434,37.0,Bachelors,Never-married,,,
876-78-1325,,HS-grad,Married-civ-spouse,Husband,,
408-07-7395,30.0,HS-grad,Married-civ-spouse,Husband,,
799-07-8623,41.0,Masters,Married-civ-spouse,Husband,,
547-23-5871,21.0,Some-college,Never-married,Own-child,Male,
661-39-4348,,HS-grad,Married-civ-spouse,Wife,Female,<=50K
162-71-4987,37.0,HS-grad,Never-married,Own-child,,
881-84-8893,29.0,HS-grad,Never-married,Own-child,,<=50K
388-63-6363,,Some-college,Never-married,Unmarried,,<=50K
869-19-5330,51.0,,,Husband,,>50K
908-01-5969,42.0,,Married-civ-spouse,Husband,Male,<=50K
104-66-8304,,Prof-school,Married-civ-spouse,Husband,,
631-51-1055,71.0,,Married-civ-spouse,Husband,,<=50K
569-53-3168,35.0,Some-college,Divorced,Unmarried,Female,
953-47-0515,32.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
649-23-2186,21.0,Some-college,Never-married,Not-in-family,Male,<=50K
266-49-2628,51.0,Some-college,Never-married,,,<=50K
472-11-3021,31.0,HS-grad,Never-married,Own-child,,<=50K
602-88-6977,53.0,Some-college,Married-civ-spouse,,Male,<=50K
243-58-1080,41.0,Some-college,,Husband,Male,
674-81-5724,52.0,HS-grad,Never-married,Not-in-family,Male,<=50K
051-07-4938,71.0,Some-college,Widowed,Not-in-family,Female,
303-13-2677,21.0,Bachelors,Separated,Unmarried,,
920-57-7394,43.0,Masters,Married-civ-spouse,Husband,Male,>50K
465-66-3390,24.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
581-84-8893,57.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
518-36-6092,36.0,HS-grad,Married-civ-spouse,Husband,,
470-54-6682,,,,Own-child,Female,<=50K
216-46-1916,24.0,Some-college,Never-married,Own-child,Female,<=50K
073-67-9361,35.0,Some-college,,Not-in-family,,>50K
627-42-6289,42.0,7th-8th,Married-civ-spouse,,,<=50K
888-91-2775,,Some-college,Married-civ-spouse,Husband,,<=50K
182-09-4594,29.0,,Married-civ-spouse,Husband,,<=50K
582-67-8132,54.0,Some-college,Never-married,,Female,<=50K
700-85-9950,36.0,Some-college,Never-married,Not-in-family,,<=50K
624-26-2898,70.0,HS-grad,,Not-in-family,,<=50K
453-04-0540,50.0,,Never-married,Own-child,Female,<=50K
089-74-2014,,,,Wife,,
194-90-1719,,Some-college,Never-married,Own-child,,
749-99-9999,22.0,Bachelors,Divorced,Unmarried,Female,
615-04-9139,39.0,HS-grad,Divorced,Unmarried,Female,<=50K
622-91-1547,33.0,HS-grad,Never-married,,Male,<=50K
568-79-6068,52.0,Some-college,Divorced,,Male,
353-65-4790,56.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
798-83-2923,56.0,,Never-married,Not-in-family,,
501-47-4200,53.0,,Divorced,Other-relative,Female,<=50K
950-30-7124,68.0,Bachelors,,Unmarried,Female,
239-43-4889,,HS-grad,Married-civ-spouse,Husband,Male,<=50K
184-73-5872,,Some-college,Separated,Not-in-family,,<=50K
242-59-8279,27.0,10th,Never-married,,,
368-79-6068,24.0,,Never-married,Other-relative,,<=50K
827-67-1989,21.0,,Never-married,Not-in-family,Female,
746-00-7370,59.0,Bachelors,Married-civ-spouse,Husband,Male,>50K
142-16-8304,,,Divorced,Not-in-family,,>50K
584-39-8033,30.0,,Divorced,Unmarried,Female,
815-07-9851,38.0,Some-college,,Not-in-family,Male,<=50K
503-65-4790,26.0,Assoc-voc,Divorced,Not-in-family,,
931-87-9605,31.0,Bachelors,Never-married,,,<=50K
504-05-4053,55.0,,Never-married,Not-in-family,,<=50K
165-50-9827,26.0,Some-college,Never-married,Unmarried,Female,
112-34-6437,53.0,HS-grad,Divorced,Other-relative,,
932-70-8844,20.0,,,Not-in-family,,<=50K
286-14-8648,,,,Own-child,,<=50K
067-19-9017,30.0,Some-college,,Husband,Male,<=50K
348-46-4373,39.0,Prof-school,Married-civ-spouse,Husband,,
027-67-1990,43.0,Bachelors,,Not-in-family,Male,
234-70-5159,44.0,7th-8th,Married-civ-spouse,Husband,Male,
058-78-3783,33.0,Bachelors,Married-civ-spouse,Husband,Male,
149-69-2874,46.0,Masters,Never-married,Unmarried,Female,<=50K
963-94-3487,64.0,11th,Married-civ-spouse,Husband,Male,
870-76-1669,24.0,HS-grad,Divorced,Own-child,,<=50K
419-25-6756,25.0,HS-grad,Divorced,Not-in-family,Female,<=50K
097-32-8009,55.0,Bachelors,Widowed,Unmarried,Male,
733-04-6682,35.0,HS-grad,Never-married,Not-in-family,,<=50K
342-38-3292,39.0,Bachelors,Married-civ-spouse,Husband,,
975-03-0711,34.0,,Never-married,,Female,<=50K
855-12-8991,36.0,HS-grad,,,Male,
619-25-6756,22.0,HS-grad,,Not-in-family,,
716-15-4790,60.0,,,Not-in-family,Male,<=50K
117-62-8992,61.0,Masters,Married-civ-spouse,Husband,Male,<=50K
